Central_x,Central_y,Oeste_x,Oeste_y,Este_x,Este_y,Sur_x,Sur_y,Norte_x,Norte_y
0.000000,0.000000,-4999.998999,-2.000000,4999.998999,2.000000,2.000000,-4999.998999,-2.000000,4999.998999
0.000000,0.000000,-4999.995995,-4.000000,4999.995995,4.000000,4.000000,-4999.995995,-4.000000,4999.995995
0.000000,0.000000,-4999.990988,-5.999998,4999.990988,5.999998,5.999998,-4999.990988,-5.999998,4999.990988
0.000000,0.000000,-4999.983979,-7.999994,4999.983979,7.999994,7.999994,-4999.983979,-7.999994,4999.983979
0.000000,0.000000,-4999.974966,-9.999988,4999.974966,9.999988,9.999988,-4999.974966,-9.999988,4999.974966
0.000000,0.000000,-4999.963952,-11.999978,4999.963952,11.999978,11.999978,-4999.963952,-11.999978,4999.963952
0.000000,0.000000,-4999.950934,-13.999964,4999.950934,13.999964,13.999964,-4999.950934,-13.999964,4999.950934
0.000000,0.000000,-4999.935914,-15.999944,4999.935914,15.999944,15.999944,-4999.935914,-15.999944,4999.935914
0.000000,0.000000,-4999.918891,-17.999918,4999.918891,17.999918,17.999918,-4999.918891,-17.999918,4999.918891
0.000000,0.000000,-4999.899866,-19.999886,4999.899866,19.999886,19.999886,-4999.899866,-19.999886,4999.899866
0.000000,0.000000,-4999.878838,-21.999846,4999.878838,21.999846,21.999846,-4999.878838,-21.999846,4999.878838
0.000000,0.000000,-4999.855807,-23.999797,4999.855807,23.999797,23.999797,-4999.855807,-23.999797,4999.855807
0.000000,0.000000,-4999.830773,-25.999740,4999.830773,25.999740,25.999740,-4999.830773,-25.999740,4999.830773
0.000000,0.000000,-4999.803736,-27.999672,4999.803736,27.999672,27.999672,-4999.803736,-27.999672,4999.803736
0.000000,0.000000,-4999.774697,-29.999593,4999.774697,29.999593,29.999593,-4999.774697,-29.999593,4999.774697
0.000000,0.000000,-4999.743655,-31.999503,4999.743655,31.999503,31.999503,-4999.743655,-31.999503,4999.743655
0.000000,0.000000,-4999.710611,-33.999401,4999.710611,33.999401,33.999401,-4999.710611,-33.999401,4999.710611
0.000000,0.000000,-4999.675563,-35.999285,4999.675563,35.999285,35.999285,-4999.675563,-35.999285,4999.675563
0.000000,0.000000,-4999.638513,-37.999155,4999.638513,37.999155,37.999155,-4999.638513,-37.999155,4999.638513
0.000000,0.000000,-4999.599460,-39.999011,4999.599460,39.999011,39.999011,-4999.599460,-39.999011,4999.599460
0.000000,0.000000,-4999.558404,-41.998850,4999.558404,41.998850,41.998850,-4999.558404,-41.998850,4999.558404
0.000000,0.000000,-4999.515346,-43.998674,4999.515346,43.998674,43.998674,-4999.515346,-43.998674,4999.515346
0.000000,0.000000,-4999.470284,-45.998480,4999.470284,45.998480,45.998480,-4999.470284,-45.998480,4999.470284
0.000000,0.000000,-4999.423220,-47.998268,4999.423220,47.998268,47.998268,-4999.423220,-47.998268,4999.423220
0.000000,0.000000,-4999.374153,-49.998037,4999.374153,49.998037,49.998037,-4999.374153,-49.998037,4999.374153
0.000000,0.000000,-4999.323083,-51.997787,4999.323083,51.997787,51.997787,-4999.323083,-51.997787,4999.323083
0.000000,0.000000,-4999.270010,-53.997516,4999.270010,53.997516,53.997516,-4999.270010,-53.997516,4999.270010
0.000000,0.000000,-4999.214934,-55.997224,4999.214934,55.997224,55.997224,-4999.214934,-55.997224,4999.214934
0.000000,0.000000,-4999.157855,-57.996910,4999.157855,57.996910,57.996910,-4999.157855,-57.996910,4999.157855
0.000000,0.000000,-4999.098774,-59.996573,4999.098774,59.996573,59.996573,-4999.098774,-59.996573,4999.098774
0.000000,0.000000,-4999.037689,-61.996213,4999.037689,61.996213,61.996213,-4999.037689,-61.996213,4999.037689
0.000000,0.000000,-4998.974601,-63.995828,4998.974601,63.995828,63.995828,-4998.974601,-63.995828,4998.974601
0.000000,0.000000,-4998.909511,-65.995417,4998.909511,65.995417,65.995417,-4998.909511,-65.995417,4998.909511
0.000000,0.000000,-4998.842417,-67.994981,4998.842417,67.994981,67.994981,-4998.842417,-67.994981,4998.842417
0.000000,0.000000,-4998.773321,-69.994518,4998.773321,69.994518,69.994518,-4998.773321,-69.994518,4998.773321
0.000000,0.000000,-4998.702221,-71.994027,4998.702221,71.994027,71.994027,-4998.702221,-71.994027,4998.702221
0.000000,0.000000,-4998.629118,-73.993508,4998.629118,73.993508,73.993508,-4998.629118,-73.993508,4998.629118
0.000000,0.000000,-4998.554012,-75.992960,4998.554012,75.992960,75.992960,-4998.554012,-75.992960,4998.554012
0.000000,0.000000,-4998.476903,-77.992381,4998.476903,77.992381,77.992381,-4998.476903,-77.992381,4998.476903
0.000000,0.000000,-4998.397791,-79.991772,4998.397791,79.991772,79.991772,-4998.397791,-79.991772,4998.397791
0.000000,0.000000,-4998.316675,-81.991131,4998.316675,81.991131,81.991131,-4998.316675,-81.991131,4998.316675
0.000000,0.000000,-4998.233557,-83.990457,4998.233557,83.990457,83.990457,-4998.233557,-83.990457,4998.233557
0.000000,0.000000,-4998.148435,-85.989751,4998.148435,85.989751,85.989751,-4998.148435,-85.989751,4998.148435
0.000000,0.000000,-4998.061310,-87.989010,4998.061310,87.989010,87.989010,-4998.061310,-87.989010,4998.061310
0.000000,0.000000,-4997.972182,-89.988234,4997.972182,89.988234,89.988234,-4997.972182,-89.988234,4997.972182
0.000000,0.000000,-4997.881050,-91.987423,4997.881050,91.987423,91.987423,-4997.881050,-91.987423,4997.881050
0.000000,0.000000,-4997.787915,-93.986575,4997.787915,93.986575,93.986575,-4997.787915,-93.986575,4997.787915
0.000000,0.000000,-4997.692776,-95.985690,4997.692776,95.985690,95.985690,-4997.692776,-95.985690,4997.692776
0.000000,0.000000,-4997.595634,-97.984767,4997.595634,97.984767,97.984767,-4997.595634,-97.984767,4997.595634
0.000000,0.000000,-4997.496489,-99.983805,4997.496489,99.983805,99.983805,-4997.496489,-99.983805,4997.496489
0.000000,0.000000,-4997.395340,-101.982803,4997.395340,101.982803,101.982803,-4997.395340,-101.982803,4997.395340
0.000000,0.000000,-4997.292188,-103.981761,4997.292188,103.981761,103.981761,-4997.292188,-103.981761,4997.292188
0.000000,0.000000,-4997.187032,-105.980677,4997.187032,105.980677,105.980677,-4997.187032,-105.980677,4997.187032
0.000000,0.000000,-4997.079873,-107.979552,4997.079873,107.979552,107.979552,-4997.079873,-107.979552,4997.079873
0.000000,0.000000,-4996.970710,-109.978383,4996.970710,109.978383,109.978383,-4996.970710,-109.978383,4996.970710
0.000000,0.000000,-4996.859544,-111.977171,4996.859544,111.977171,111.977171,-4996.859544,-111.977171,4996.859544
0.000000,0.000000,-4996.746373,-113.975915,4996.746373,113.975915,113.975915,-4996.746373,-113.975915,4996.746373
0.000000,0.000000,-4996.631199,-115.974613,4996.631199,115.974613,115.974613,-4996.631199,-115.974613,4996.631199
0.000000,0.000000,-4996.514022,-117.973264,4996.514022,117.973264,117.973264,-4996.514022,-117.973264,4996.514022
0.000000,0.000000,-4996.394840,-119.971869,4996.394840,119.971869,119.971869,-4996.394840,-119.971869,4996.394840
0.000000,0.000000,-4996.273655,-121.970427,4996.273655,121.970427,121.970427,-4996.273655,-121.970427,4996.273655
0.000000,0.000000,-4996.150466,-123.968936,4996.150466,123.968936,123.968936,-4996.150466,-123.968936,4996.150466
0.000000,0.000000,-4996.025273,-125.967395,4996.025273,125.967395,125.967395,-4996.025273,-125.967395,4996.025273
0.000000,0.000000,-4995.898076,-127.965804,4995.898076,127.965804,127.965804,-4995.898076,-127.965804,4995.898076
0.000000,0.000000,-4995.768875,-129.964163,4995.768875,129.964163,129.964163,-4995.768875,-129.964163,4995.768875
0.000000,0.000000,-4995.637670,-131.962469,4995.637670,131.962469,131.962469,-4995.637670,-131.962469,4995.637670
0.000000,0.000000,-4995.504461,-133.960724,4995.504461,133.960724,133.960724,-4995.504461,-133.960724,4995.504461
0.000000,0.000000,-4995.369248,-135.958924,4995.369248,135.958924,135.958924,-4995.369248,-135.958924,4995.369248
0.000000,0.000000,-4995.232030,-137.957071,4995.232030,137.957071,137.957071,-4995.232030,-137.957071,4995.232030
0.000000,0.000000,-4995.092809,-139.955163,4995.092809,139.955163,139.955163,-4995.092809,-139.955163,4995.092809
0.000000,0.000000,-4994.951583,-141.953199,4994.951583,141.953199,141.953199,-4994.951583,-141.953199,4994.951583
0.000000,0.000000,-4994.808353,-143.951178,4994.808353,143.951178,143.951178,-4994.808353,-143.951178,4994.808353
0.000000,0.000000,-4994.663119,-145.949100,4994.663119,145.949100,145.949100,-4994.663119,-145.949100,4994.663119
0.000000,0.000000,-4994.515880,-147.946964,4994.515880,147.946964,147.946964,-4994.515880,-147.946964,4994.515880
0.000000,0.000000,-4994.366637,-149.944769,4994.366637,149.944769,149.944769,-4994.366637,-149.944769,4994.366637
0.000000,0.000000,-4994.215390,-151.942514,4994.215390,151.942514,151.942514,-4994.215390,-151.942514,4994.215390
0.000000,0.000000,-4994.062138,-153.940199,4994.062138,153.940199,153.940199,-4994.062138,-153.940199,4994.062138
0.000000,0.000000,-4993.906881,-155.937822,4993.906881,155.937822,155.937822,-4993.906881,-155.937822,4993.906881
0.000000,0.000000,-4993.749620,-157.935383,4993.749620,157.935383,157.935383,-4993.749620,-157.935383,4993.749620
0.000000,0.000000,-4993.590354,-159.932881,4993.590354,159.932881,159.932881,-4993.590354,-159.932881,4993.590354
0.000000,0.000000,-4993.429083,-161.930315,4993.429083,161.930315,161.930315,-4993.429083,-161.930315,4993.429083
0.000000,0.000000,-4993.265808,-163.927684,4993.265808,163.927684,163.927684,-4993.265808,-163.927684,4993.265808
0.000000,0.000000,-4993.100527,-165.924988,4993.100527,165.924988,165.924988,-4993.100527,-165.924988,4993.100527
0.000000,0.000000,-4992.933242,-167.922226,4992.933242,167.922226,167.922226,-4992.933242,-167.922226,4992.933242
0.000000,0.000000,-4992.763952,-169.919397,4992.763952,169.919397,169.919397,-4992.763952,-169.919397,4992.763952
0.000000,0.000000,-4992.592657,-171.916500,4992.592657,171.916500,171.916500,-4992.592657,-171.916500,4992.592657
0.000000,0.000000,-4992.419357,-173.913535,4992.419357,173.913535,173.913535,-4992.419357,-173.913535,4992.419357
0.000000,0.000000,-4992.244052,-175.910499,4992.244052,175.910499,175.910499,-4992.244052,-175.910499,4992.244052
0.000000,0.000000,-4992.066742,-177.907394,4992.066742,177.907394,177.907394,-4992.066742,-177.907394,4992.066742
0.000000,0.000000,-4991.887427,-179.904218,4991.887427,179.904218,179.904218,-4991.887427,-179.904218,4991.887427
0.000000,0.000000,-4991.706106,-181.900970,4991.706106,181.900970,181.900970,-4991.706106,-181.900970,4991.706106
0.000000,0.000000,-4991.522780,-183.897649,4991.522780,183.897649,183.897649,-4991.522780,-183.897649,4991.522780
0.000000,0.000000,-4991.337449,-185.894254,4991.337449,185.894254,185.894254,-4991.337449,-185.894254,4991.337449
0.000000,0.000000,-4991.150112,-187.890786,4991.150112,187.890786,187.890786,-4991.150112,-187.890786,4991.150112
0.000000,0.000000,-4990.960769,-189.887242,4990.960769,189.887242,189.887242,-4990.960769,-189.887242,4990.960769
0.000000,0.000000,-4990.769421,-191.883622,4990.769421,191.883622,191.883622,-4990.769421,-191.883622,4990.769421
0.000000,0.000000,-4990.576068,-193.879926,4990.576068,193.879926,193.879926,-4990.576068,-193.879926,4990.576068
0.000000,0.000000,-4990.380709,-195.876152,4990.380709,195.876152,195.876152,-4990.380709,-195.876152,4990.380709
0.000000,0.000000,-4990.183344,-197.872300,4990.183344,197.872300,197.872300,-4990.183344,-197.872300,4990.183344
0.000000,0.000000,-4989.983973,-199.868368,4989.983973,199.868368,199.868368,-4989.983973,-199.868368,4989.983973
